,Unnamed: 0,disease,workout,workout_Telugu
261,261,Common Cold,Include nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
262,262,Common Cold,Consume foods rich in vitamin C and antioxidants,విటమిన్ సి మరియు యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
263,263,Common Cold,Include zinc-rich foods,జింక్ ఎక్కువగా ఉన్న ఆహారం తినండి
264,264,Common Cold,Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
265,265,Common Cold,Consume chicken soup,చికెన్ సూప్ త్రాగండి
266,266,Common Cold,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
267,267,Common Cold,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
268,268,Common Cold,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
269,269,Common Cold,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
270,270,Pneumonia,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
271,271,Pneumonia,Include nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
272,272,Pneumonia,Consume foods rich in vitamin C and antioxidants,విటమిన్ సి మరియు యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
273,273,Pneumonia,Include zinc-rich foods,జింక్ ఎక్కువగా ఉన్న ఆహారం తినండి
274,274,Pneumonia,Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
275,275,Pneumonia,Consume chicken soup,చికెన్ సూప్ త్రాగండి
276,276,Pneumonia,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
277,277,Pneumonia,Rest and conserve energy,విశ్రాంతి తీసుకోండి మరియు శక్తిని కాపాడుకోండి
278,278,Pneumonia,Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
279,279,Pneumonia,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
280,280,Dimorphic hemorrhoids(piles),Consume high-fiber foods,ఫైబర్ ఎక్కువగా ఉన్న ఆహారం తినండి
281,281,Dimorphic hemorrhoids(piles),Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
282,282,Dimorphic hemorrhoids(piles),Include nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
283,283,Dimorphic hemorrhoids(piles),Consume foods rich in flavonoids,ఫ్లేవోనాయిడ్లు ఎక్కువగా ఉన్న ఆహారం తినండి
284,284,Dimorphic hemorrhoids(piles),Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
285,285,Dimorphic hemorrhoids(piles),Avoid spicy and greasy foods,మసాలా మరియు నూనె ఎక్కువగా ఉన్న ఆహారాలు నివారించండి
286,286,Dimorphic hemorrhoids(piles),Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
287,287,Dimorphic hemorrhoids(piles),Practice good hygiene,మంచి శుభ్రతను పాటించండి
288,288,Dimorphic hemorrhoids(piles),Gradually resume normal diet,క్రమంగా సాధారణ ఆహారం తినండి
289,289,Dimorphic hemorrhoids(piles),Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
290,290,Heart attack,Follow a heart-healthy diet,గుండెకు ఆరోగ్యకరమైన ఆహారం అనుసరించండి
291,291,Heart attack,Limit sodium intake,సోడియం తీసుకోవడం పరిమితం చేయండి
292,292,Heart attack,Include fiber-rich foods,ఫైబర్ ఎక్కువగా ఉన్న ఆహారం తినండి
293,293,Heart attack,Consume healthy fats,ఆరోగ్యకరమైన కొవ్వులు తీసుకోండి
294,294,Heart attack,Include lean proteins,తక్కువ కొవ్వు ఉన్న ప్రోటీన్లు తీసుకోండి
295,295,Heart attack,Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
296,296,Heart attack,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
297,297,Heart attack,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
298,298,Heart attack,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
299,299,Heart attack,Engage in regular exercise,క్రమం తప్పకుండా వ్యాయామం చేయండి
300,300,Varicose veins,Consume a high-fiber diet,అధిక ఫైబర్ ఆహారం తినండి
301,301,Varicose veins,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
302,302,Varicose veins,Include nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
303,303,Varicose veins,Consume foods rich in antioxidants,యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
304,304,Varicose veins,Limit sodium intake,సోడియం తీసుకోవడం పరిమితం చేయండి
305,305,Varicose veins,Include flavonoid-rich foods,ఫ్లేవోనాయిడ్లు ఎక్కువగా ఉన్న ఆహారం తినండి
306,306,Varicose veins,Avoid standing or sitting for long periods,ఎక్కువ సేపు నిలబడటం లేదా కూర్చోవడం నివారించండి
307,307,Varicose veins,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
308,308,Varicose veins,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
309,309,Varicose veins,Engage in regular exercise,క్రమం తప్పకుండా వ్యాయామం చేయండి
310,310,Hypothyroidism,Include iodine-rich foods,అయోడిన్ ఎక్కువగా ఉన్న ఆహారం తినండి
311,311,Hypothyroidism,Consume selenium-rich foods,సెలీనియం ఎక్కువగా ఉన్న ఆహారం తినండి
312,312,Hypothyroidism,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
313,313,Hypothyroidism,Include nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
314,314,Hypothyroidism,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
315,315,Hypothyroidism,Consume foods rich in vitamins B and D,విటమిన్లు బి మరియు డి ఎక్కువగా ఉన్న ఆహారం తినండి
316,316,Hypothyroidism,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
317,317,Hypothyroidism,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
318,318,Hypothyroidism,Maintain a stable weight,స్థిరమైన బరువును నిర్వహించండి
319,319,Hypothyroidism,Engage in regular exercise,క్రమం తప్పకుండా వ్యాయామం చేయండి
320,320,Hyperthyroidism,Limit iodine intake,అయోడిన్ తీసుకోవడం పరిమితం చేయండి
321,321,Hyperthyroidism,Consume cruciferous vegetables in moderation,క్రూసిఫెరస్ కూరగాయలు మితంగా తినండి
322,322,Hyperthyroidism,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
323,323,Hyperthyroidism,Include nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
324,324,Hyperthyroidism,Limit caffeine and alcohol,కెఫిన్ మరియు ఆల్కహాల్ ను పరిమితం చేయండి
325,325,Hyperthyroidism,Include omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
326,326,Hyperthyroidism,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
327,327,Hyperthyroidism,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
328,328,Hyperthyroidism,Maintain a stable weight,స్థిరమైన బరువును నిర్వహించండి
329,329,Hyperthyroidism,Engage in regular exercise,క్రమం తప్పకుండా వ్యాయామం చేయండి
330,330,Hypoglycemia,Consume complex carbohydrates,కాంప్లెక్స్ కార్బోహైడ్రేట్లు తినండి
331,331,Hypoglycemia,Include protein-rich foods,ప్రోటీన్ ఎక్కువగా ఉన్న ఆహారం తినండి
332,332,Hypoglycemia,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
333,333,Hypoglycemia,Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
334,334,Hypoglycemia,Consume regular meals and snacks,క్రమం తప్పకుండా భోజనాలు మరియు స్నాక్స్ తినండి
335,335,Hypoglycemia,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
336,336,Hypoglycemia,Monitor blood sugar levels,రక్తంలో చక్కెర స్థాయిని పర్యవేక్షించండి
337,337,Hypoglycemia,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
338,338,Hypoglycemia,Engage in regular physical activity,క్రమం తప్పకుండా శారీరక కార్యకలాపాలు చేయండి
339,339,Hypoglycemia,Limit alcohol intake,ఆల్కహాల్ తీసుకోవడం పరిమితం చేయండి
340,340,Osteoarthritis,Consume anti-inflammatory foods,ఎంపికైన ఆహారాలు తీసుకోండి
341,341,Osteoarthritis,Include omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
342,342,Osteoarthritis,Consume antioxidant-rich foods,యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
343,343,Osteoarthritis,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
344,344,Osteoarthritis,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
345,345,Osteoarthritis,Include vitamin K-rich foods,విటమిన్ కె ఎక్కువగా ఉన్న ఆహారం తినండి
346,346,Osteoarthritis,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
347,347,Osteoarthritis,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
348,348,Osteoarthritis,Engage in low-impact exercise,తక్కువ ప్రభావం ఉన్న వ్యాయామం చేయండి
349,349,Osteoarthritis,Maintain a healthy weight,ఆరోగ్యకరమైన బరువును నిర్వహించండి
350,350,Arthritis,Consume anti-inflammatory foods,ఎంపికైన ఆహారాలు తీసుకోండి
351,351,Arthritis,Include omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
352,352,Arthritis,Consume antioxidant-rich foods,యాంటీఆక్సిడెంట్లు ఎక్కువగా ఉన్న ఆహారం తినండి
353,353,Arthritis,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
354,354,Arthritis,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
355,355,Arthritis,Include vitamin K-rich foods,విటమిన్ కె ఎక్కువగా ఉన్న ఆహారం తినండి
356,356,Arthritis,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
357,357,Arthritis,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
358,358,Arthritis,Engage in low-impact exercise,తక్కువ ప్రభావం ఉన్న వ్యాయామం చేయండి
359,359,Arthritis,Maintain a healthy weight,ఆరోగ్యకరమైన బరువును నిర్వహించండి
360,360,(vertigo) Paroxysmal Positional Vertigo,"Avoid trigger foods (caffeine, alcohol)","ప్రేరేపక ఆహారాలు (కెఫిన్, ఆల్కహాల్) నివారించండి"
361,361,(vertigo) Paroxysmal Positional Vertigo,Limit sodium intake,సోడియం తీసుకోవడం పరిమితం చేయండి
362,362,(vertigo) Paroxysmal Positional Vertigo,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
363,363,(vertigo) Paroxysmal Positional Vertigo,Consume ginger and ginkgo biloba,అల్లం మరియు గింకో బిలోబా తీసుకోండి
364,364,(vertigo) Paroxysmal Positional Vertigo,Limit artificial sweeteners,కృత్రిమ స్వీటనర్లను పరిమితం చేయండి
365,365,(vertigo) Paroxysmal Positional Vertigo,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
366,366,(vertigo) Paroxysmal Positional Vertigo,Avoid sudden head movements,అకస్మాత్తుగా తల కదిలించడం నివారించండి
367,367,(vertigo) Paroxysmal Positional Vertigo,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
368,368,(vertigo) Paroxysmal Positional Vertigo,Manage stress,ఒత్తిడిని నిర్వహించండి
369,369,(vertigo) Paroxysmal Positional Vertigo,Limit caffeine and stimulants,కెఫిన్ మరియు ఉత్తేజకాలు పరిమితం చేయండి
370,370,Acne,Consume a balanced diet,సమతుల్య ఆహారం తినండి
371,371,Acne,Limit dairy and high-glycemic foods,పాలు మరియు అధిక గ్లైసెమిక్ ఆహారాలు పరిమితం చేయండి
372,372,Acne,Include antioxidants,యాంటీఆక్సిడెంట్లు తీసుకోండి
373,373,Acne,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
374,374,Acne,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
375,375,Acne,Include zinc-rich foods,జింక్ ఎక్కువగా ఉన్న ఆహారం తినండి
376,376,Acne,Consult a skincare professional,చర్మ సంరక్షణ నిపుణుని సంప్రదించండి
377,377,Acne,Practice good skincare hygiene,మంచి చర్మ సంరక్షణ శుభ్రతను పాటించండి
378,378,Acne,Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
379,379,Acne,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
380,380,Urinary tract infection,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
381,381,Urinary tract infection,Consume cranberry products,క్రాన్బెరీ ఉత్పత్తులు తీసుకోండి
382,382,Urinary tract infection,Include vitamin C-rich foods,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
383,383,Urinary tract infection,Limit caffeine and alcohol,కెఫిన్ మరియు ఆల్కహాల్ ను పరిమితం చేయండి
384,384,Urinary tract infection,Consume probiotics,ప్రొబయోటిక్స్ తీసుకోండి
385,385,Urinary tract infection,Avoid spicy and acidic foods,మసాలా మరియు ఆమ్ల ఆహారాలు నివారించండి
386,386,Urinary tract infection,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
387,387,Urinary tract infection,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
388,388,Urinary tract infection,Maintain good hygiene,మంచి శుభ్రతను పాటించండి
389,389,Urinary tract infection,Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
390,390,Psoriasis,Consume anti-inflammatory foods,ఎంపికైన ఆహారాలు తీసుకోండి
391,391,Psoriasis,Include omega-3 fatty acids,ఒమేగా-3 ఫ్యాటీ ఆమ్లాలు ఉన్న ఆహారం తీసుకోండి
392,392,Psoriasis,Include vitamin D analogues,విటమిన్ డి అనలాగ్స్ తీసుకోండి
393,393,Psoriasis,Limit alcohol consumption,ఆల్కహాల్ తీసుకోవడం పరిమితం చేయండి
394,394,Psoriasis,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
395,395,Psoriasis,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
396,396,Psoriasis,Limit processed foods,ప్రాసెస్ చేసిన ఆహారాన్ని పరిమితం చేయండి
397,397,Psoriasis,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
398,398,Psoriasis,Manage stress,ఒత్తిడిని నిర్వహించండి
399,399,Psoriasis,Consider phototherapy under medical guidance,వైద్య మార్గదర్శకత్వంలో ఫోటోథెరపీని పరిగణించండి
400,400,Impetigo,Maintain good hygiene,మంచి శుభ్రతను పాటించండి
401,401,Impetigo,Stay hydrated,శరీరాన్ని తడిగా ఉంచండి
402,402,Impetigo,Consume nutrient-rich foods,పోషకాలు ఎక్కువగా ఉన్న ఆహారం తినండి
403,403,Impetigo,Limit sugary foods and beverages,చక్కెర పదార్థాలు మరియు పానీయాలు పరిమితం చేయండి
404,404,Impetigo,Include foods rich in vitamin C,విటమిన్ సి ఎక్కువగా ఉన్న ఆహారం తినండి
405,405,Impetigo,Consult a healthcare professional,వైద్యుడిని సంప్రదించండి
406,406,Impetigo,Follow medical recommendations,వైద్య సిఫార్సులను పాటించండి
407,407,Impetigo,Avoid scratching,కొరుకుడు నివారించండి
408,408,Impetigo,Take prescribed antibiotics,నిర్దేశించిన యాంటీబయాటిక్స్ తీసుకోండి
409,409,Impetigo,Practice wound care,గాయం సంరక్షణను పాటించండి
